column,neotoma,required,notes,rowwise,type,FormatOrRange,vocab,constant,taxonname,taxonid,unitcolumn,Uncertaintycolumn,Uncertaintyunitcolumn,UncertaintyBasis
site_id,ndb.sites.sitedescription,,"Neotoma site gets its own ID, note should be “SISAL site_id: {site_id}”",,,,,,,,,,,
site_name,ndb.sites.sitename,,,,,,,,,,,,,
latitude,ndb.sites.geog,,,,,,,,,,,,,
longitude,ndb.sites.geog,,,,,,,,,,,,,
elevation,ndb.sites.altitude,,,,,,,,,,,,,
monitoring,ndb.speleothems.monitoring,,convert from y/n,,boolean,,,,,,,,,
notes,,,,,,,,,,,,,,
entity_id,ndb.speleothems.entityid,,,,,,,,,,,,,
entity_name,ndb.speleothem.entityname,,,,,,,,,,,,,
entity_status,ndb.speleothem.entitystatusid,,,,,,,,,,,,,
corresponding_current,,,IGNORING,,,,,,,,,,,
persist_id,ndb.speleothems.persistid,,,,,,,,,,,,,
depth_ref,ndb.speleothems.depthreferencesystemid,,,,,,,,,,,,,
geology,ndb.speleothems.speleothemgeologyid,,,,,,,,,,,,,
rock_age,ndb.speleothem.relativeageid,,,,,,,,,,,,,
wokam,,,IGNORING,,,,,,,,,,,
vegetation_type,ndb.entityvegetationcover.vegetationcovertypeid,,,,,,,,,,,,,
land_use,ndb.entitylandusecover.landusecovertypeid,,,,,,,,,,,,,
lam_age,,,,,,,,,,,,,,
lam_age_uncert_pos,,,,,,,,,,,,,,
lam_age_uncert_neg,,,,,,,,,,,,,,
sample_id,,,,,,,,,,,,,,
sample_thickness,,,,,,,,,,,,,,
depth_sample,,,,,,,,,,,,,,
mineralogy,,,,,,,,,,,,,,
arag_corr,,,,,,,,,,,,,,
hiatus,,,,,,,,,,,,,,
Ba_Ca_measurement,,,,,,,,,,,,,,
Ba_Ca_precision,,,,,,,,,,,,,,
Mg_Ca_measurement,,,,,,,,,,,,,,
Mg_Ca_precision,,,,,,,,,,,,,,
P_Ca_measurement,,,,,,,,,,,,,,
P_Ca_precision,,,,,,,,,,,,,,
Sr_Ca_measurement,,,,,,,,,,,,,,
Sr_Ca_precision,,,,,,,,,,,,,,
U_Ca_measurement,,,,,,,,,,,,,,
U_Ca_precision,,,,,,,,,,,,,,
Sr_isotopes_measurement,,,,,,,,,,,,,,
Sr_isotopes_precision,,,,,,,,,,,,,,
d18O_measurement,,,,,,,,,,,,,,
d18O_precision,,,,,,,,,,,,,,
d13C_measurement,,,,,,,,,,,,,,
d13C_precision,,,,,,,,,,,,,,
interp_age,,,,,,,,,,,,,,
interp_age_uncert_pos,,,,,,,,,,,,,,
interp_age_uncert_neg,,,,,,,,,,,,,,
age_model_type,,,,,,,,,,,,,,
ann_lam_check,,,,,,,,,,,,,,
dep_rate_check,,,,,,,,,,,,,,
lin_interp_age,,,,,,,,,,,,,,
lin_interp_age_uncert_pos,,,,,,,,,,,,,,
lin_interp_age_uncert_neg,,,,,,,,,,,,,,
lin_reg_age,,,,,,,,,,,,,,
lin_reg_age_uncert_pos,,,,,,,,,,,,,,
lin_reg_age_uncert_neg,,,,,,,,,,,,,,
Bchron_age,,,,,,,,,,,,,,
Bchron_age_uncert_pos,,,,,,,,,,,,,,
Bchron_age_uncert_neg,,,,,,,,,,,,,,
Bacon_age,,,,,,,,,,,,,,
Bacon_age_uncert_pos,,,,,,,,,,,,,,
Bacon_age_uncert_neg,,,,,,,,,,,,,,
OxCal_age,,,,,,,,,,,,,,
OxCal_age_uncert_pos,,,,,,,,,,,,,,
OxCal_age_uncert_neg,,,,,,,,,,,,,,
copRa_age,,,,,,,,,,,,,,
copRa_age_uncert_pos,,,,,,,,,,,,,,
copRa_age_uncert_neg,,,,,,,,,,,,,,
StalAge_age,,,,,,,,,,,,,,
StalAge_age_uncert_pos,,,,,,,,,,,,,,
StalAge_age_uncert_neg,,,,,,,,,,,,,,
composite_entity_id,,,,,,,,,,,,,,
single_entity_id,,,,,,,,,,,,,,
